,0
0,Q60732601
1,Q55693478
2,Q55693672
3,Q89455639
4,Q88937699
5,Q18291412
6,Q16928120
7,Q55693530
8,Q18335309
9,Q30158485
10,Q10655544
11,Q30160624
12,Q29580017
13,Q55693515
14,Q30158649
