,wikidata,coord,osmid
356,Q107117888,,
357,Q107077690,,
358,Q107117902,,
359,Q107118139,,
360,Q107092043,,
361,Q107122864,,
362,Q107076745,,
363,Q107074353,,
364,Q107108722,,
365,Q107111394,,
366,Q107105857,,
367,Q107112915,,
368,Q107111992,,
369,Q107092040,,
370,Q107131006,,
371,Q107122678,,
372,Q107122752,,
373,Q107111823,,
374,Q107111966,,
375,Q107098575,,
376,Q107163871,,
378,Q107108735,,
379,Q107077694,,
380,Q107085192,,
381,Q107124527,,
382,Q107085182,,
383,Q107094096,,
384,Q107123133,,
385,Q107108753,,
386,Q107085186,,
387,Q107103372,,
388,Q97348531,,
389,Q107103773,,
390,Q107108709,,
391,Q107108681,,
392,Q107100344,,
393,Q107112540,,
394,Q107166763,,
395,Q107123066,,
396,Q107118090,,
397,Q107118067,,
398,Q107117858,,
399,Q107110200,,
400,Q107110175,,
401,Q107092038,,
402,Q107092041,,
403,Q107085185,,
404,Q107085193,,
405,Q107124558,,
406,Q4985079,,
407,Q107100270,,
408,Q107117729,,
409,Q107076744,,
410,Q107085191,,
411,Q107124960,,
412,Q107122637,,
413,Q107122650,,
414,Q107122644,,
415,Q107122554,,
416,Q107122629,,
417,Q107111071,,
418,Q107076738,,
419,Q107258516,,
420,Q107140663,,
421,Q107140682,,
422,Q107258430,,
423,Q107099431,,
424,Q107258487,,
425,Q107258498,,
426,Q107258470,,
427,Q107145828,,
429,Q107125403,,
430,Q107098678,,
431,Q107105312,,
432,Q107103397,,
433,Q107108573,,
434,Q107111811,,
435,Q107111706,,
436,Q107097488,,
437,Q107111716,,
438,Q107125656,,
439,Q107125670,,
440,Q107097784,,
441,Q107074350,,
442,Q107074348,,
443,Q107074349,,
444,Q107085194,,
447,Q107118567,,
448,Q107130760,,
460,Q106709184,,
464,Q106708747,,
465,Q107203626,,
473,Q106709070,,
474,Q106708712,,
476,Q106708053,,
480,Q106709346,,
484,Q106707993,,
486,Q106707741,,
489,Q107203652,,
501,Q106712080,,
511,Q106708074,,
513,Q106706938,,
518,Q106710762,,
520,Q107022118,,
521,Q106712072,,
523,Q106710012,,
524,Q106709034,,
525,Q106708885,,
526,Q106708804,,
527,Q106708451,,
529,Q106671673,,
534,Q106707518,,
535,Q106707777,,
538,Q24023324,,
539,Q106707982,,
540,Q106708707,,
543,Q106814427,,
544,Q106707743,,
545,Q106708880,,
546,Q106708518,,
547,Q106709737,,
548,Q106706956,,
549,Q106711654,,
551,Q106711867,,
553,Q106709325,,
554,Q10426879,,
556,Q106711624,,
563,Q106711971,,
564,Q106709345,,
574,Q106707098,,
575,Q106708944,,
576,Q106707100,,
577,Q106707059,,
578,Q106712054,,
579,Q106673659,,
583,Q106711387,,
587,Q106709997,,
594,Q106708235,,
596,Q106680400,,
597,Q106708790,,
600,Q106708640,,
601,Q106707508,,
603,Q106707735,,
604,Q106708307,,
605,Q106711680,,
614,Q106708126,,
616,Q106707757,,
617,Q106708091,,
619,Q106656544,,
620,Q106712036,,
624,Q106708328,,
625,Q106707922,,
626,Q106708808,,
627,Q106709293,,
628,Q106711866,,
629,Q106707808,,
634,Q106711959,,
635,Q106708660,,
636,Q106708315,,
637,Q106708189,,
638,Q106708312,,
639,Q106708316,,
640,Q106709017,,
643,Q106671686,,
644,Q106710204,,
646,Q106709343,,
647,Q106707603,,
649,Q106712039,,
650,Q106712293,,
652,Q106709726,,
653,Q106709407,,
654,Q106708188,,
655,Q106707125,,
659,Q106857892,,
661,Q106710457,,
668,Q107261937,,
670,Q106710406,,
671,Q106712048,,
673,Q106712178,,
676,Q106711992,,
677,Q106708684,,
679,Q106710675,,
680,Q106711984,,
681,Q106814748,,
682,Q106708002,,
683,Q106709992,,
684,Q106711361,,
685,Q10436468,,
686,Q106711994,,
688,Q106708323,,
689,Q106654612,,
690,Q106710163,,
691,Q104816563,,
692,Q106707633,,
693,Q106711373,,
694,Q106707733,,
697,Q106709411,,
698,Q106709106,,
700,Q106710758,,
701,Q106674038,,
703,Q106709089,,
704,Q106709117,,
705,Q106712221,,
706,Q106710494,,
707,Q106709719,,
711,Q106709943,,
712,Q106708280,,
713,Q106708434,,
714,Q10438281,,
716,Q106711378,,
717,Q32229841,,
719,Q106709152,,
720,Q106707504,,
724,Q106709170,,
725,Q106708871,,
726,Q106707806,,
727,Q106709060,,
730,Q106676276,,
734,Q106708658,,
735,Q106709374,,
736,Q107169335,,
737,Q106711896,,
738,Q106711930,,
739,Q106707983,,
741,Q106710771,,
746,Q5742505,,
748,Q106702050,,
750,Q106707528,,
751,Q106711334,,
755,Q106709365,,
757,Q106708805,,
759,Q106709065,,
760,Q106709088,,
761,Q106708555,,
762,Q106708949,,
764,Q107261379,,
773,Q106678576,,
774,Q106708387,,
777,Q106707119,,
778,Q106707625,,
781,Q106708109,,
782,Q106709940,,
784,Q3302169,,
789,Q106708215,,
790,Q106710246,,
791,Q106710696,,
793,Q106709310,,
794,Q106708025,,
796,Q106709702,,
801,Q106707605,,
802,Q96623606,,
805,Q106708676,,
807,Q106710473,,
811,Q107148783,,
821,Q106707016,,
822,Q106707752,,
823,Q106709174,,
826,Q106709477,,
828,Q106712244,,
834,Q106707521,,
836,Q106709478,,
837,Q106707057,,
842,Q106652649,,
850,Q106708083,,
854,Q106707652,,
855,Q106709169,,
856,Q106708860,,
861,Q106709786,,
864,Q106709485,,
865,Q106712310,,
866,Q106669725,,
868,Q106708023,,
870,Q106959447,,
875,Q106673646,,
876,Q106707696,,
878,Q106712126,,
879,Q106711047,,
883,Q106709728,,
887,Q106712073,,
889,Q106711784,,
890,Q106709686,,
891,Q106712247,,
895,Q106708496,,
897,Q106709173,,
899,Q106712292,,
900,Q106673746,,
901,Q106673765,,
902,Q106707709,,
904,Q106712100,,
907,Q107168317,,
912,Q106707699,,
913,Q106709486,,
918,Q106709469,,
921,Q106712306,,
926,Q106709393,,
927,Q106711011,,
930,Q106707745,,
931,Q106707746,,
932,Q106707747,,
935,Q106712199,,
938,Q106708934,,
940,Q106708850,,
942,Q106711878,,
943,Q106671699,,
945,Q106708237,,
948,Q106674010,,
949,Q106711056,,
952,Q106707707,,
953,Q106708662,,
954,Q106709952,,
957,Q106709382,,
961,Q106689637,,
962,Q106711967,,
963,Q106673668,,
964,Q106707647,,
965,Q106709488,,
966,Q106815608,,
971,Q106708580,,
974,Q107261940,,
975,Q106708738,,
977,Q106709124,,
978,Q106676572,,
979,Q106711761,,
980,Q106708791,,
981,Q106988666,,
988,Q106711991,,
989,Q32245059,,
990,Q106711948,,
993,Q106707760,,
994,Q106710211,,
995,Q106712230,,
996,Q106709208,,
998,Q106707127,,
1000,Q106708082,,
1002,Q107168281,,
1003,Q106712256,,
1006,Q106709756,,
1008,Q106712122,,
1009,Q106707025,,
1012,Q106708455,,
1013,Q106708792,,
1014,Q106708013,,
1017,Q106707123,,
1018,Q106707123,,
1022,Q106709140,,
1029,Q106702259,,
1030,Q106708582,,
1032,Q106710966,,
1035,Q106707964,,
1038,Q106710234,,
1039,Q106712313,,
1040,Q106707121,,
1041,Q106707121,,
1042,Q106672860,,
1045,Q106712044,,
1047,Q106710035,,
1049,Q106708648,,
1052,Q106657193,,
1059,Q106708817,,
1060,Q106711091,,
1062,Q106711988,,
1063,Q106711953,,
1064,Q106709163,,
1068,Q106712086,,
1069,Q107089985,,
1070,Q107261376,,
1074,Q106815827,,
1075,Q106815827,,
1085,Q106710493,,
1086,Q106712071,,
1087,Q106711881,,
1088,Q106711990,,
1090,Q106709963,,
1091,Q106711931,,
1092,Q106707651,,
1094,Q106707943,,
1098,Q106708242,,
1102,Q106708946,,
1105,Q106708486,,
1106,Q106708961,,
1108,Q106707522,,
1110,Q106707927,,
1112,Q106706967,,
1113,Q106707520,,
1115,Q106694958,,
1117,Q106710756,,
1118,Q106709145,,
1119,Q106708766,,
1121,Q106708458,,
1123,Q106654139,,
1124,Q106654153,,
1126,Q106707827,,
1133,Q106988741,,
1134,Q106708768,,
1137,Q106709290,,
1142,Q106712314,,
1145,Q106708429,,
1146,Q106712301,,
1148,Q106707968,,
1150,Q106709754,,
1151,Q106706975,,
1154,Q106711940,,
1156,Q106711059,,
1159,Q106711423,,
1161,Q106708744,,
1163,Q106709707,,
1167,Q106709787,,
1172,Q106672336,,
1173,Q106708818,,
1174,Q106711937,,
1178,Q106659335,,
1179,Q106711879,,
1180,Q106711879,,
1182,Q106691604,,
1184,Q106654403,,
1185,Q106708525,,
1186,Q106707793,,
1187,Q106709691,,
1188,Q106712064,,
1190,Q106709082,,
1193,Q106708720,,
1195,Q106707736,,
1198,Q106707697,,
1199,Q106691589,,
1200,Q106711054,,
1202,Q106707848,,
1207,Q106706936,,
1208,Q106708578,,
1210,Q106712324,,
1211,Q106709490,,
1212,Q106707948,,
1217,Q106709956,,
1219,Q107022440,,
1221,Q106709492,,
1225,Q106858112,,
1226,Q106706954,,
1229,Q106712276,,
1231,Q106709128,,
1232,Q107261941,,
1233,Q106712258,,
1234,Q106709339,,
1235,Q106710168,,
1237,Q10546597,,
1240,Q106709083,,
1241,Q106672373,,
1243,Q106712275,,
1245,Q106707705,,
1247,Q106707058,,
1250,Q106709761,,
1251,Q106709945,,
1252,Q106707955,,
1253,Q106712047,,
1254,Q106672025,,
1259,Q106708069,,
1260,Q106708938,,
1262,Q106712016,,
1263,Q106709277,,
1271,Q106708767,,
1272,Q106712167,,
1275,Q106975405,,
1277,Q106708931,,
1278,Q106670458,,
1280,Q106816431,,
1281,Q106708653,,
1290,Q106672775,,
1296,Q106706992,,
1301,Q106708450,,
1303,Q106966624,,
1305,Q106707753,,
1306,Q106707754,,
1307,Q106708204,,
1308,Q106709723,,
1310,Q106947945,,
1311,Q106710677,,
1314,Q106706968,,
1315,Q106707041,,
1316,Q106707156,,
1319,Q106708081,,
1320,Q106708219,,
1323,Q106711873,,
1324,Q106709175,,
1331,Q106711887,,
1335,Q106709279,,
1337,Q106709494,,
1338,Q106695584,,
1345,Q106687655,,
1352,Q106707627,,
1353,Q106707740,,
1355,Q106709011,,
1356,Q106653196,,
1357,Q106653196,,
1361,Q106708659,,
1363,Q106709534,,
1365,Q106707144,,
1368,Q106709969,,
1370,Q106709112,,
1371,Q106708714,,
1372,Q106711627,,
1381,Q106708947,,
1382,Q106708652,,
1383,Q106707137,,
1384,Q106708635,,
1386,Q106709404,,
1387,Q106669964,,
1391,Q106708688,,
1392,Q106706932,,
1394,Q106709984,,
1395,Q106707124,,
1396,Q106707124,,
1398,Q106709765,,
1399,Q106709495,,
1405,Q106654394,,
1411,Q106708883,,
1413,Q106708485,,
1414,Q106712277,,
1415,Q106707122,,
1416,Q106707122,,
1417,Q106707645,,
1418,Q106707043,,
1424,Q106709496,,
1425,Q106710463,,
1427,Q106664498,,
1430,Q106709059,,
1432,Q106709958,,
1434,Q106707139,,
1436,Q106710780,,
1441,Q106708628,,
1442,Q106711342,,
1443,Q106712013,,
1444,Q56301944,,
1448,Q106709498,,
1450,Q6729649,,
1451,Q106707135,,
1452,Q106707015,,
1454,Q106709186,,
1456,Q106712317,,
1459,Q106708722,,
1462,Q106707525,,
1466,Q106708775,,
1471,Q106710020,,
1474,Q107261938,,
1477,Q106708624,,
1478,Q106711305,,
1480,Q106708622,,
1481,Q106709412,,
1482,Q107261382,,
1486,Q106707509,,
1490,Q106967058,,
1491,Q106708904,,
1493,Q106708046,,
1494,Q106709788,,
1501,Q106711865,,
1502,Q106988412,,
1503,Q106672570,,
1504,Q106672594,,
1505,Q106709178,,
1506,Q106707801,,
1509,Q10593146,,
1510,Q106708723,,
1511,Q106676995,,
1517,Q106709985,,
1523,Q106708950,,
1527,Q106705894,,
1529,Q106711355,,
1533,Q106708202,,
1538,Q106676198,,
1544,Q106708765,,
1545,Q106712123,,
1549,Q106711126,,
1550,Q106709010,,
1551,Q106845474,,
1553,Q106766151,,
1556,Q106707502,,
1559,Q106709506,,
1564,Q107092188,,
1565,Q106709264,,
1566,Q106709087,,
1569,Q106702298,,
1571,Q106670485,,
1572,Q106707140,,
1573,Q107261380,,
1574,Q106709378,,
1577,Q106707781,,
1580,Q106711009,,
1582,Q107261935,,
1586,Q106708052,,
1589,Q106708867,,
1590,Q106709181,,
1594,Q106709508,,
1600,Q106708636,,
1601,Q106708318,,
1603,Q106708774,,
1604,Q106709068,,
